Operating Airline,Year,Total Passengers,Top Region
Swissport USA,2016,980,Europe
Swissport USA,2017,146,Europe
Swissport USA,2018,98,US
Swissport USA,2020,3041,Asia
Swissport USA,2021,500,US
Swissport USA,2022,41,US
"TACA International Airlines, S.A.",1999,40024,Central America
"TACA International Airlines, S.A.",2000,80156,Central America
"TACA International Airlines, S.A.",2001,85286,Central America
"TACA International Airlines, S.A.",2002,97295,Central America
"TACA International Airlines, S.A.",2003,104193,Central America
"TACA International Airlines, S.A.",2004,115760,Central America
"TACA International Airlines, S.A.",2005,116517,Central America
"TACA International Airlines, S.A.",2006,111255,Central America
"TACA International Airlines, S.A.",2007,129652,Central America
"TACA International Airlines, S.A.",2008,100119,Central America
"TACA International Airlines, S.A.",2009,107171,Central America
"TACA International Airlines, S.A.",2010,114185,Central America
"TACA International Airlines, S.A.",2011,125184,Central America
"TACA International Airlines, S.A.",2012,130780,Central America
"TACA International Airlines, S.A.",2013,129110,Central America
"TACA International Airlines, S.A.",2014,127598,Central America
"TACA International Airlines, S.A.",2015,136492,Central America
"TACA International Airlines, S.A.",2016,131817,Central America
"TACA International Airlines, S.A.",2017,137498,Central America
"TACA International Airlines, S.A.",2018,158900,Central America
"TACA International Airlines, S.A.",2019,180559,Central America
"TACA International Airlines, S.A.",2020,50546,Central America
"TACA International Airlines, S.A.",2021,107413,Central America
"TACA International Airlines, S.A.",2022,168400,Central America
"TACA International Airlines, S.A.",2023,185663,Central America
TAP Air Portugal,2019,68876,Europe
TAP Air Portugal,2020,16966,Europe
TAP Air Portugal,2021,31694,Europe
TAP Air Portugal,2022,77121,Europe
TAP Air Portugal,2023,90248,Europe
TWA,1999,364777,US
TWA,2000,736251,US
TWA,2001,508573,US
Thomas Cook Airlines,2017,26281,Europe
Thomas Cook Airlines,2018,36665,Europe
Thomas Cook Airlines,2019,31750,Europe
Tower Air,1999,87551,US
Tower Air,2000,12900,US
Tradewinds Airlines,2000,666,Central America
Trans States Airlines,1999,36159,US
Trego Dugan Aviation,2017,412,US
Turkish Airlines,2015,145305,Europe
Turkish Airlines,2016,201247,Europe
Turkish Airlines,2017,208356,Europe
Turkish Airlines,2018,230605,Europe
Turkish Airlines,2019,231731,Europe
Turkish Airlines,2020,89831,Europe
Turkish Airlines,2021,165032,Europe
Turkish Airlines,2022,290436,Europe
Turkish Airlines,2023,314863,Europe
US Airways,1999,940116,US
US Airways,2000,1971281,US
US Airways,2001,1801520,US
US Airways,2002,1742668,US
US Airways,2003,1662315,US
US Airways,2004,1956923,US
US Airways,2005,1745804,US
US Airways,2006,1680037,US
US Airways,2007,1708226,US
US Airways,2008,1704129,US
US Airways,2009,1633495,US
US Airways,2010,1363251,US
US Airways,2011,1573155,US
US Airways,2012,1543728,US
US Airways,2013,1618865,US
US Airways,2014,1723574,US
US Airways,2015,1402480,US
United Airlines,1999,724437,US
United Airlines,2000,1329604,US
United Airlines,2001,1016574,US
United Airlines,2002,936327,US
United Airlines,2003,1033561,US
United Airlines,2004,1133810,US
United Airlines,2005,1178125,US
United Airlines,2006,1259048,US
United Airlines,2007,1337727,US
United Airlines,2008,1342133,US
United Airlines,2009,1428919,US
United Airlines,2010,1493794,US
United Airlines,2011,1742295,US
United Airlines,2012,3531293,US
United Airlines,2013,11820404,US
United Airlines,2014,18055781,US
United Airlines,2015,18203168,US
United Airlines,2016,19430014,US
United Airlines,2017,21707841,US
United Airlines,2018,22428953,US
United Airlines,2019,22528891,US
United Airlines,2020,6180223,US
United Airlines,2021,9312694,US
United Airlines,2022,17630315,US
United Airlines,2023,19120048,US
United Airlines - Pre 07/01/2013,1999,10270959,US
United Airlines - Pre 07/01/2013,2000,19113467,US
United Airlines - Pre 07/01/2013,2001,16551294,US
United Airlines - Pre 07/01/2013,2002,14675034,US
United Airlines - Pre 07/01/2013,2003,12919238,US
United Airlines - Pre 07/01/2013,2004,14100050,US
United Airlines - Pre 07/01/2013,2005,13653411,US
United Airlines - Pre 07/01/2013,2006,13909631,US
United Airlines - Pre 07/01/2013,2007,14189002,US
United Airlines - Pre 07/01/2013,2008,13324898,US
United Airlines - Pre 07/01/2013,2009,12333843,US
United Airlines - Pre 07/01/2013,2010,12898951,US
United Airlines - Pre 07/01/2013,2011,13056723,US
United Airlines - Pre 07/01/2013,2012,13277916,US
United Airlines - Pre 07/01/2013,2013,5346119,US
Vanguard Airlines,2001,48006,US
Vanguard Airlines,2002,51120,US
Vietnam Airlines JSC,2021,1359,Asia
Vietnam Airlines JSC,2022,71156,Asia
Vietnam Airlines JSC,2023,81473,Asia
Virgin America,2007,292016,US
Virgin America,2008,1804016,US
Virgin America,2009,2363672,US
Virgin America,2010,2437935,US
Virgin America,2011,3116248,US
Virgin America,2012,3918789,Mexico
Virgin America,2013,3815448,Mexico
Virgin America,2014,3976013,Mexico
Virgin America,2015,4164013,US
Virgin America,2016,4903619,Mexico
Virgin America,2017,5263650,Mexico
Virgin America,2018,1788501,Mexico
Virgin Atlantic,1999,130691,Europe
Virgin Atlantic,2000,306693,Europe
Virgin Atlantic,2001,276331,Europe
Virgin Atlantic,2002,241747,Europe
Virgin Atlantic,2003,234180,Europe
Virgin Atlantic,2004,234311,Europe
Virgin Atlantic,2005,233956,Europe
Virgin Atlantic,2006,233835,Europe
Virgin Atlantic,2007,234386,Europe
Virgin Atlantic,2008,215665,Europe
Virgin Atlantic,2009,212515,Europe
Virgin Atlantic,2010,216356,Europe
Virgin Atlantic,2011,215512,Europe
Virgin Atlantic,2012,259141,Europe
Virgin Atlantic,2013,235813,Europe
Virgin Atlantic,2014,237533,Europe
Virgin Atlantic,2015,300157,Europe
Virgin Atlantic,2016,282199,Europe
Virgin Atlantic,2017,291259,Europe
Virgin Atlantic,2018,312034,Europe
Virgin Atlantic,2019,289573,Europe
Virgin Atlantic,2020,39351,Europe
Virgin Atlantic,2021,12783,Europe
Virgin Atlantic,2022,204756,Europe
Virgin Atlantic,2023,265515,Europe
Volaris Airlines,2016,58207,Mexico
Volaris Airlines,2017,104340,Mexico
Volaris Airlines,2018,67298,Mexico
Volaris Airlines,2019,3726,Mexico
WOW Air,2016,82969,Europe
WOW Air,2017,150340,Europe
WOW Air,2018,126500,Europe
WestJet Airlines,2004,5516,Canada
WestJet Airlines,2005,37659,Canada
WestJet Airlines,2006,1029,Canada
WestJet Airlines,2009,15412,Canada
WestJet Airlines,2010,77062,Canada
WestJet Airlines,2011,86150,Canada
WestJet Airlines,2012,90008,Canada
WestJet Airlines,2013,85851,Canada
WestJet Airlines,2014,87970,Canada
WestJet Airlines,2015,85359,Canada
WestJet Airlines,2016,83956,Canada
WestJet Airlines,2017,120756,Canada
WestJet Airlines,2018,123866,Canada
WestJet Airlines,2019,146250,Canada
WestJet Airlines,2021,18174,Canada
WestJet Airlines,2022,139123,Canada
WestJet Airlines,2023,191550,Canada
World Airways,2004,109,Europe
World Airways,2005,165,US
World Airways,2009,514,Europe
World Airways,2012,271,US
XL Airways France,2012,15581,Europe
XL Airways France,2013,14907,Europe
XL Airways France,2014,17529,Europe
XL Airways France,2015,20901,Europe
XL Airways France,2016,24034,Europe
XL Airways France,2017,23962,Europe
XL Airways France,2018,21212,Europe
XL Airways France,2019,22387,Europe
Xtra Airways,2006,146,US
ZIPAIR Tokyo Inc,2023,60463,Asia
